City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aketi,CD,2.7388,23.7833,76.12,69,98,1.99,light rain
79,Kirakira,SB,-10.4544,161.9205,80.55,85,100,7.43,moderate rain
80,San Patricio,US,28.017,-97.5169,74.17,96,98,12.28,overcast clouds
81,Tasiilaq,GL,65.6145,-37.6368,-1.07,72,85,3.67,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,77.11,68,0,5.75,clear sky
83,Yellowknife,CA,62.456,-114.3525,3.72,85,100,15.01,light snow
84,Hilo,US,19.7297,-155.09,71.33,87,0,4.61,clear sky
85,Zhanaozen,KZ,43.3,52.8,44.2,82,99,12.08,overcast clouds
86,Codrington,AU,-38.2667,141.9667,59.76,62,99,14.14,overcast clouds
87,Kamaishi,JP,39.2667,141.8833,31.84,61,19,15.82,few clouds
88,Cherskiy,RU,68.75,161.3,-48.77,100,84,4.85,broken clouds
89,Durango,MX,24.8333,-104.8333,41.0,84,10,5.91,clear sky
90,Salalah,OM,17.0151,54.0924,81.93,46,81,5.61,broken clouds
91,Hamilton,US,39.1834,-84.5333,61.0,94,100,10.36,heavy intensity rain
92,Half Moon Bay,US,37.4636,-122.4286,50.92,94,100,14.97,mist
93,Biak,ID,-0.9131,122.8766,82.74,70,69,4.59,broken clouds
94,Port Elizabeth,ZA,-33.918,25.5701,86.09,76,0,4.61,clear sky
95,Eldorado,BR,-23.7869,-54.2836,68.92,97,100,4.38,moderate rain
96,Palmer,US,42.1584,-72.3287,39.61,92,100,1.05,overcast clouds
97,Kazachinskoye,RU,57.6953,93.2761,11.59,94,47,2.91,scattered clouds
98,Imbituba,BR,-28.24,-48.6703,71.2,96,26,5.75,scattered clouds
99,Svetlaya,RU,46.5389,138.3297,7.52,58,8,8.37,clear sky
100,Ribeira Grande,PT,38.5167,-28.7,60.78,85,97,17.0,overcast clouds
101,Severo-Kurilsk,RU,50.6789,156.125,18.73,61,100,22.64,overcast clouds
102,Tigil,RU,57.8,158.6667,24.33,67,100,21.41,overcast clouds
103,Barrow,US,71.2906,-156.7887,3.22,85,100,20.71,mist
104,Hobart,AU,-42.8794,147.3294,58.86,65,100,12.66,overcast clouds
105,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,30,1.99,scattered clouds
106,Port Alfred,ZA,-33.5906,26.891,81.32,60,100,11.74,overcast clouds
107,Ostrovnoy,RU,68.0531,39.5131,24.33,74,100,23.09,light snow
108,Bogorodskoye,RU,56.55,37.8833,25.45,94,100,6.8,snow
109,Saldanha,ZA,-33.0117,17.9442,64.45,77,36,19.69,scattered clouds
110,Upernavik,GL,72.7868,-56.1549,-16.33,70,18,4.92,few clouds
111,Rocha,UY,-34.4833,-54.3333,54.57,83,0,3.69,clear sky
112,Kandrian,PG,-6.2167,149.55,83.46,75,100,14.25,overcast clouds
113,Tabas,IR,33.5959,56.9244,46.62,34,0,2.3,clear sky
